Anrede;Name;Vorname;StO;Einstellungsjahr;bisherige StGr;Zuteilung;neue StGr
Herr;Müller;Max;Hann. Münden;BA 23/23;201;Modul 13.3;301
Frau;Schäfer;Eva;Oldenburg;BA 23/23;204;Modul 13.3;301
Herr;Köhler;Jörg;Nienburg;BA 23/23;203;Modul 13.3;302
Frau;Weiß;Anna;Hann. Münden;BA 24/24;206;Modul 13.2;302
Herr;Groß;Sebastian;Oldenburg;BA 24/24;203;Modul 13.2;303
Frau;Öztürk;Müge;Nienburg;BA 24/24;205;Modul 13.2;303
Dr.;Lindemann;Friedrich;Hann. Münden;BA 23/23;201;Modul 13.3;301
Frau;Bäcker;Sophie;Oldenburg;BA 24/24;204;Modul 13.2;304
Herr;Hofmann;Lukas;Nienburg;BA 23/23;207;Modul 13.3;304
Frau;Vogt;Christina;Hann. Münden;BA 24/24;202;Modul 13.2;305
